Paper,Year,Citations
1985A&AS...60..425A,1995,338
1985A&AS...60..425A,1996,379
1985A&AS...60..425A,1997,451
1985A&AS...60..425A,1998,534
1985A&AS...60..425A,1999,620
1985A&AS...60..425A,2000,683
1985A&AS...60..425A,2001,737
1985A&AS...60..425A,2002,778
1985A&AS...60..425A,2003,828
1985A&AS...60..425A,2004,865
1985A&AS...60..425A,2005,897
1985A&AS...60..425A,2006,926
1985A&AS...60..425A,2007,945
1985A&AS...60..425A,2008,967
1985A&AS...60..425A,2009,984
1985A&AS...60..425A,2010,1000
1985A&AS...60..425A,2011,1023
1985A&AS...60..425A,2012,1035
1985A&AS...60..425A,2013,1054
1985A&AS...60..425A,2014,1065
1985A&AS...60..425A,2015,1079
1985A&AS...60..425A,2016,1092
1985A&AS...60..425A,2017,1104
1985ApJ...291..722T,1985,5
1985ApJ...291..722T,1986,14
1985ApJ...291..722T,1987,23
1985ApJ...291..722T,1988,39
1985ApJ...291..722T,1989,62
1985ApJ...291..722T,1990,88
1985ApJ...291..722T,1991,122
1985ApJ...291..722T,1992,145
1985ApJ...291..722T,1993,186
1985ApJ...291..722T,1994,224
1985ApJ...291..722T,1995,258
1985ApJ...291..722T,1996,294
1985ApJ...291..722T,1997,327
1985ApJ...291..722T,1998,364
1985ApJ...291..722T,1999,395
1985ApJ...291..722T,2000,430
1985ApJ...291..722T,2001,462
1985ApJ...291..722T,2002,493
1985ApJ...291..722T,2003,514
1985ApJ...291..722T,2004,543
1985ApJ...291..722T,2005,567
1985ApJ...291..722T,2006,598
1985ApJ...291..722T,2007,619
1985ApJ...291..722T,2008,636
1985ApJ...291..722T,2009,665
1985ApJ...291..722T,2010,689
1985ApJ...291..722T,2011,711
1985ApJ...291..722T,2012,747
1985ApJ...291..722T,2013,790
1985ApJ...291..722T,2014,823
1985ApJ...291..722T,2015,861
1985ApJ...291..722T,2016,897
1985ApJ...291..722T,2017,939
1985ApJ...293..424Z,1985,5
1985ApJ...293..424Z,1986,28
1985ApJ...293..424Z,1987,60
1985ApJ...293..424Z,1988,88
1985ApJ...293..424Z,1989,117
1985ApJ...293..424Z,1990,148
1985ApJ...293..424Z,1991,199
1985ApJ...293..424Z,1992,250
1985ApJ...293..424Z,1993,299
1985ApJ...293..424Z,1994,348
1985ApJ...293..424Z,1995,398
1985ApJ...293..424Z,1996,440
1985ApJ...293..424Z,1997,490
1985ApJ...293..424Z,1998,520
1985ApJ...293..424Z,1999,551
1985ApJ...293..424Z,2000,590
1985ApJ...293..424Z,2001,616
1985ApJ...293..424Z,2002,642
1985ApJ...293..424Z,2003,658
1985ApJ...293..424Z,2004,683
1985ApJ...293..424Z,2005,704
1985ApJ...293..424Z,2006,726
1985ApJ...293..424Z,2007,740
1985ApJ...293..424Z,2008,753
1985ApJ...293..424Z,2009,773
1985ApJ...293..424Z,2010,800
1985ApJ...293..424Z,2011,815
1985ApJ...293..424Z,2012,833
1985ApJ...293..424Z,2013,851
1985ApJ...293..424Z,2014,864
1985ApJ...293..424Z,2015,874
1985ApJ...293..424Z,2016,887
1985ApJ...293..424Z,2017,900
1985AJ.....90.1681B,1985,2
1985AJ.....90.1681B,1986,15
1985AJ.....90.1681B,1987,31
1985AJ.....90.1681B,1988,56
1985AJ.....90.1681B,1989,85
1985AJ.....90.1681B,1990,117
1985AJ.....90.1681B,1991,139
1985AJ.....90.1681B,1992,160
1985AJ.....90.1681B,1993,185
1985AJ.....90.1681B,1994,208
1985AJ.....90.1681B,1995,241
1985AJ.....90.1681B,1996,275
1985AJ.....90.1681B,1997,308
1985AJ.....90.1681B,1998,337
1985AJ.....90.1681B,1999,364
1985AJ.....90.1681B,2000,395
1985AJ.....90.1681B,2001,420
1985AJ.....90.1681B,2002,457
1985AJ.....90.1681B,2003,481
1985AJ.....90.1681B,2004,510
1985AJ.....90.1681B,2005,532
1985AJ.....90.1681B,2006,565
1985AJ.....90.1681B,2007,590
1985AJ.....90.1681B,2008,617
1985AJ.....90.1681B,2009,649
1985AJ.....90.1681B,2010,676
1985AJ.....90.1681B,2011,695
1985AJ.....90.1681B,2012,725
1985AJ.....90.1681B,2013,749
1985AJ.....90.1681B,2014,774
1985AJ.....90.1681B,2015,799
1985AJ.....90.1681B,2016,829
1985AJ.....90.1681B,2017,847
1985NuPhB.249..361A,1985,2
1985NuPhB.249..361A,1986,11
1985NuPhB.249..361A,1987,27
1985NuPhB.249..361A,1988,41
1985NuPhB.249..361A,1989,47
1985NuPhB.249..361A,1990,52
1985NuPhB.249..361A,1991,60
1985NuPhB.249..361A,1992,66
1985NuPhB.249..361A,1993,73
1985NuPhB.249..361A,1994,87
1985NuPhB.249..361A,1995,99
1985NuPhB.249..361A,1996,122
1985NuPhB.249..361A,1997,137
1985NuPhB.249..361A,1998,159
1985NuPhB.249..361A,1999,186
1985NuPhB.249..361A,2000,229
1985NuPhB.249..361A,2001,257
1985NuPhB.249..361A,2002,298
1985NuPhB.249..361A,2003,327
1985NuPhB.249..361A,2004,368
1985NuPhB.249..361A,2005,403
1985NuPhB.249..361A,2006,428
1985NuPhB.249..361A,2007,460
1985NuPhB.249..361A,2008,490
1985NuPhB.249..361A,2009,515
1985NuPhB.249..361A,2010,540
1985NuPhB.249..361A,2011,579
1985NuPhB.249..361A,2012,604
1985NuPhB.249..361A,2013,639
1985NuPhB.249..361A,2014,680
1985NuPhB.249..361A,2015,713
1985NuPhB.249..361A,2016,753
1985NuPhB.249..361A,2017,776
1985NuPhB.256..727T,1986,2
1985NuPhB.256..727T,1987,5
1985NuPhB.256..727T,1988,6
1985NuPhB.256..727T,1989,7
1985NuPhB.256..727T,1990,9
1985NuPhB.256..727T,1991,12
1985NuPhB.256..727T,1992,15
1985NuPhB.256..727T,1993,19
1985NuPhB.256..727T,1994,39
1985NuPhB.256..727T,1995,81
1985NuPhB.256..727T,1996,127
1985NuPhB.256..727T,1997,159
1985NuPhB.256..727T,1998,185
1985NuPhB.256..727T,1999,208
1985NuPhB.256..727T,2000,239
1985NuPhB.256..727T,2001,271
1985NuPhB.256..727T,2002,306
1985NuPhB.256..727T,2003,332
1985NuPhB.256..727T,2004,360
1985NuPhB.256..727T,2005,388
1985NuPhB.256..727T,2006,426
1985NuPhB.256..727T,2007,456
1985NuPhB.256..727T,2008,501
1985NuPhB.256..727T,2009,537
1985NuPhB.256..727T,2010,564
1985NuPhB.256..727T,2011,585
1985NuPhB.256..727T,2012,605
1985NuPhB.256..727T,2013,645
1985NuPhB.256..727T,2014,675
1985NuPhB.256..727T,2015,692
1985NuPhB.256..727T,2016,721
1985NuPhB.256..727T,2017,741
1985ApJ...298..114M,1986,7
1985ApJ...298..114M,1987,12
1985ApJ...298..114M,1988,23
1985ApJ...298..114M,1989,31
1985ApJ...298..114M,1990,40
1985ApJ...298..114M,1991,53
1985ApJ...298..114M,1992,62
1985ApJ...298..114M,1993,80
1985ApJ...298..114M,1994,103
1985ApJ...298..114M,1995,126
1985ApJ...298..114M,1996,145
1985ApJ...298..114M,1997,168
1985ApJ...298..114M,1998,187
1985ApJ...298..114M,1999,215
1985ApJ...298..114M,2000,235
1985ApJ...298..114M,2001,259
1985ApJ...298..114M,2002,285
1985ApJ...298..114M,2003,297
1985ApJ...298..114M,2004,312
1985ApJ...298..114M,2005,329
1985ApJ...298..114M,2006,343
1985ApJ...298..114M,2007,365
1985ApJ...298..114M,2008,382
1985ApJ...298..114M,2009,402
1985ApJ...298..114M,2010,422
1985ApJ...298..114M,2011,461
1985ApJ...298..114M,2012,487
1985ApJ...298..114M,2013,520
1985ApJ...298..114M,2014,551
1985ApJ...298..114M,2015,593
1985ApJ...298..114M,2016,645
1985ApJ...298..114M,2017,696
1985PhRvL..55.2656B,1986,8
1985PhRvL..55.2656B,1987,29
1985PhRvL..55.2656B,1988,47
1985PhRvL..55.2656B,1989,62
1985PhRvL..55.2656B,1990,74
1985PhRvL..55.2656B,1991,87
1985PhRvL..55.2656B,1992,94
1985PhRvL..55.2656B,1993,99
