Author,Year,Citations,Journal,
Mewe,1998,322, Astronomy and Astrophysics Supplement Series,
Mewe,1999,363, Astronomy and Astrophysics Supplement Series,
Mewe,2000,418, Astronomy and Astrophysics Supplement Series,
Mewe,2001,472, Astronomy and Astrophysics Supplement Series,
Mewe,2002,537, Astronomy and Astrophysics Supplement Series,
Mewe,2003,589, Astronomy and Astrophysics Supplement Series,
Mewe,2004,663, Astronomy and Astrophysics Supplement Series,
Mewe,2005,730, Astronomy and Astrophysics Supplement Series,
Mewe,2006,781, Astronomy and Astrophysics Supplement Series,
Mewe,2007,813, Astronomy and Astrophysics Supplement Series,
Mewe,2008,851, Astronomy and Astrophysics Supplement Series,
Mewe,2009,901, Astronomy and Astrophysics Supplement Series,
Mewe,2010,943, Astronomy and Astrophysics Supplement Series,
Mewe,2011,976, Astronomy and Astrophysics Supplement Series,
Mewe,2012,1013, Astronomy and Astrophysics Supplement Series,
Mewe,2013,1042, Astronomy and Astrophysics Supplement Series,
Mewe,2014,1068, Astronomy and Astrophysics Supplement Series,
Mewe,2015,1080, Astronomy and Astrophysics Supplement Series,
Mewe,2016,1104, Astronomy and Astrophysics Supplement Series,
Mewe,2017,1122, Astronomy and Astrophysics Supplement Series,
Arnaud,1985,2, Astronomy and Astrophysics Supplement Series,
Arnaud,1986,15, Astronomy and Astrophysics Supplement Series,
Arnaud,1987,44, Astronomy and Astrophysics Supplement Series,
Arnaud,1988,62, Astronomy and Astrophysics Supplement Series,
Arnaud,1989,89, Astronomy and Astrophysics Supplement Series,
Arnaud,1990,118, Astronomy and Astrophysics Supplement Series,
Arnaud,1991,157, Astronomy and Astrophysics Supplement Series,
Arnaud,1992,194, Astronomy and Astrophysics Supplement Series,
Arnaud,1993,235, Astronomy and Astrophysics Supplement Series,
Arnaud,1994,291, Astronomy and Astrophysics Supplement Series,
Arnaud,1995,338, Astronomy and Astrophysics Supplement Series,
Arnaud,1996,379, Astronomy and Astrophysics Supplement Series,
Arnaud,1997,451, Astronomy and Astrophysics Supplement Series,
Arnaud,1998,534, Astronomy and Astrophysics Supplement Series,
Arnaud,1999,620, Astronomy and Astrophysics Supplement Series,
Arnaud,2000,683, Astronomy and Astrophysics Supplement Series,
Arnaud,2001,737, Astronomy and Astrophysics Supplement Series,
Arnaud,2002,778, Astronomy and Astrophysics Supplement Series,
Arnaud,2003,828, Astronomy and Astrophysics Supplement Series,
Arnaud,2004,865, Astronomy and Astrophysics Supplement Series,
Arnaud,2005,897, Astronomy and Astrophysics Supplement Series,
Arnaud,2006,926, Astronomy and Astrophysics Supplement Series,
Arnaud,2007,945, Astronomy and Astrophysics Supplement Series,
Arnaud,2008,967, Astronomy and Astrophysics Supplement Series,
Arnaud,2009,984, Astronomy and Astrophysics Supplement Series,
Arnaud,2010,1000, Astronomy and Astrophysics Supplement Series,
Arnaud,2011,1023, Astronomy and Astrophysics Supplement Series,
Arnaud,2012,1035, Astronomy and Astrophysics Supplement Series,
Arnaud,2013,1054, Astronomy and Astrophysics Supplement Series,
Arnaud,2014,1065, Astronomy and Astrophysics Supplement Series,
Arnaud,2015,1079, Astronomy and Astrophysics Supplement Series,
Arnaud,2016,1092, Astronomy and Astrophysics Supplement Series,
Arnaud,2017,1104, Astronomy and Astrophysics Supplement Series,
Tielens,1985,5, The Astrophysical Journal,
Tielens,1986,14, The Astrophysical Journal,
Tielens,1987,23, The Astrophysical Journal,
Tielens,1988,39, The Astrophysical Journal,
Tielens,1989,62, The Astrophysical Journal,
Tielens,1990,88, The Astrophysical Journal,
Tielens,1991,122, The Astrophysical Journal,
Tielens,1992,145, The Astrophysical Journal,
Tielens,1993,186, The Astrophysical Journal,
Tielens,1994,224, The Astrophysical Journal,
Tielens,1995,258, The Astrophysical Journal,
Tielens,1996,294, The Astrophysical Journal,
Tielens,1997,327, The Astrophysical Journal,
Tielens,1998,364, The Astrophysical Journal,
Tielens,1999,395, The Astrophysical Journal,
Tielens,2000,430, The Astrophysical Journal,
Tielens,2001,462, The Astrophysical Journal,
Tielens,2002,493, The Astrophysical Journal,
Tielens,2003,514, The Astrophysical Journal,
Tielens,2004,543, The Astrophysical Journal,
Tielens,2005,567, The Astrophysical Journal,
Tielens,2006,598, The Astrophysical Journal,
Tielens,2007,619, The Astrophysical Journal,
Tielens,2008,636, The Astrophysical Journal,
Tielens,2009,665, The Astrophysical Journal,
Tielens,2010,689, The Astrophysical Journal,
Tielens,2011,711, The Astrophysical Journal,
